game_name,genre,tags,rating,playtime,popularity
Counter-Strike: Global Offensive,Action,"Shooter,Multiplayer,Competitive",9.0,500,100
Dota 2,Action,"MOBA,Multiplayer,Strategy",8.5,1000,95
The Witcher 3: Wild Hunt,RPG,"Open World,Story Rich,Fantasy",9.8,120,90
Cyberpunk 2077,RPG,"Open World,Sci-fi,Story Rich",7.8,80,85
Stardew Valley,Simulation,"Farming,Relaxing,Multiplayer",9.5,200,88
Grand Theft Auto V,Action,"Open World,Multiplayer,Crime",9.2,300,98
Terraria,Adventure,"Sandbox,Survival,2D",9.3,150,85
Portal 2,Puzzle,"Co-op,Sci-fi,Comedy",9.7,30,80
Left 4 Dead 2,Action,"Zombies,Co-op,Shooter",9.4,100,82
Hades,Action,"Roguelike,Indie,Story Rich",9.6,60,87
Elden Ring,RPG,"Souls-like,Open World,Dark Fantasy",9.5,150,96
Among Us,Casual,"Multiplayer,Social Deduction,Co-op",8.0,50,90
Red Dead Redemption 2,Action,"Open World,Story Rich,Western",9.7,120,94
Hollow Knight,Adventure,"Metroidvania,Indie,Difficult",9.5,50,86
Valheim,Survival,"Open World,Co-op,Crafting",9.0,80,84
